MovieName,MovieYear,MovieReleaseDate
56. Django Unchained,2012,"March 22, 2013 (India)"
53. Alien,1979,"December 6, 1979 (India)"
54. City Lights,1931,"March 7, 1931 (United States)"
52. C'era Una Volta Il West,1968,"September 24, 1969 (India)"
51. Rear Window,1954,"September 1, 1954 (United States)"
50. Modern Times,1936,"February 25, 1936 (United States)"
49. Cinema Paradiso,1988,"November 17, 1988 (Italy)"
47. Casablanca,1942,"January 23, 1943 (United States)"
48. Intouchables,2011,"July 13, 2012 (India)"
46. The Usual Suspects,1995,"May 10, 1996 (India)"
45. Seppuku,1962,"September 16, 1962 (Japan)"
44. Grave of the Fireflies,1988,"April 16, 1988 (Japan)"
41. American History X,1998,"September 21, 1999 (India)"
42. Whiplash,2014,"February 20, 2015 (India)"
40. The Departed,2006,"October 31, 2007 (India)"
43. The Prestige,2006,"October 20, 2006 (India)"
38. The Lion King,1994,"October 29, 1994 (India)"
39. Léon,1994,"September 23, 1996 (India)"
36. Spider-man: Across the Spider-verse,2023,"June 1, 2023 (India)"
37. Gladiator,2000,"September 1, 2000 (India)"
35. Psycho,1960,"May 24, 2020 (India)"
33. The Pianist,2002,"April 3, 2019 (India)"
34. Parasite,2019,"January 31, 2020 (India)"
31. Back to the Future,1985,"December 9, 1986 (India)"
28. The Green Mile,1999,"March 16, 2000 (India)"
30. Star Wars: Episode IV - A New Hope,1977,"July 1, 1978 (India)"
29. Terminator 2: Judgment Day,1991,"August 24, 1991 (India)"
32. Spirited Away,2001,"March 1, 2020 (India)"
