90. Oppenheimer,3h,"Biography,Drama,History"
91. Requiem for a Dream,1h 42m,Drama
89. Capharnaüm,2h 6m,Drama
88. Singin' in the Rain,1h 43m,"Comedy,Musical,Romance"
85. Once Upon a Time in America,3h 49m,"Crime,Drama"
86. Tengoku to Jigoku,2h 23m,"Crime,Drama,Mystery"
84. Kimi No Na Wa.,1h 46m,"Animation,Drama,Fantasy"
87. 3 Idiots,2h 50m,"Comedy,Drama"
83. Good Will Hunting,2h 6m,"Drama,Romance"
82. Mononoke-hime,2h 14m,"Animation,Action,Adventure"
79. Braveheart,2h 58m,"Biography,Drama,War"
81. Joker,2h 2m,"Crime,Drama,Thriller"
78. Das Boot,2h 29m,"Drama,War"
80. Avengers: Endgame,3h 1m,"Action,Adventure,Drama"
77. Toy Story,1h 21m,"Animation,Adventure,Comedy"
75. Coco,1h 45m,"Animation,Adventure,Drama"
76. Amadeus,2h 40m,"Biography,Drama,Music"
73. American Beauty,2h 2m,Drama
70. Inglourious Basterds,2h 33m,"Adventure,Drama,War"
68. The Great Dictator,2h 5m,"Comedy,Drama,War"
71. The Dark Knight Rises,2h 44m,"Action,Drama,Thriller"
72. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1h 35m,"Comedy,War"
69. Alien 2,2h 17m,"Action,Adventure,Sci-Fi"
67. The Shining,2h 26m,"Drama,Horror"
74. Oldeuboi,1h 41m,"Action,Drama,Mystery"
62. Sunset Blvd.,1h 50m,"Drama,Film-Noir"
66. Witness for the Prosecution,1h 56m,"Crime,Drama,Mystery"
63. Paths of Glory,1h 28m,"Drama,War"
64. Avengers: Infinity War,2h 29m,"Action,Adventure,Sci-Fi"
61. Das Leben der Anderen,2h 17m,"Drama,Mystery,Thriller"
60. Raiders of the Lost Ark,1h 55m,"Action,Adventure"
59. WALL·E,1h 38m,"Animation,Adventure,Family"
58. 12th Fail,2h 27m,"Biography,Drama"
55. Apocalypse Now,2h 27m,"Drama,Mystery,War"
65. Spider-Man: Into the Spider-Verse,1h 57m,"Animation,Action,Adventure"
56. Django Unchained,2h 45m,"Drama,Western"
54. City Lights,1h 27m,"Comedy,Drama,Romance"
53. Alien,1h 57m,"Horror,Sci-Fi"
57. Memento,1h 53m,"Mystery,Thriller"
52. C'era Una Volta Il West,2h 46m,Western
50. Modern Times,1h 27m,"Comedy,Drama,Romance"
48. Intouchables,1h 52m,"Comedy,Drama"
51. Rear Window,1h 52m,"Mystery,Thriller"
49. Cinema Paradiso,2h 54m,"Drama,Romance"
47. Casablanca,1h 42m,"Drama,Romance,War"
45. Seppuku,2h 13m,"Action,Drama,Mystery"
46. The Usual Suspects,1h 46m,"Crime,Drama,Mystery"
